15.65,78.15
43.85,229.03
56.45,307.4
28.21,148.25
66.12,322.01
58.71,311.67
86.55,461.17
5.88,52.16
48.46,237.59
52.39,288.19
53.09,301.21
95.24,495.18
48.06,235.89
15.12,84.09
45.58,246.57
32.82,153.17
66.77,324.75
85.94,468.04
24.31,101.7
4.52,42.38
82.65,393.43
16.63,77.98
78.3,394.26
74.82,414.06
76.67,391.87
55.75,308.29
70.11,355.87
15.73,59.13
32.4,142.65
84.16,432.46
80.27,414.63
2.89,5.17
68.78,349.33
9.95,46.91
28.6,131.16
30.11,160.51
29.41,168.89
22.55,136.81
59.44,302.46
55.93,313.87
90.56,476.37
21.08,122.11
66.75,314.61
28.31,147.99
75.46,409.85
73.78,406.06
40.25,227.33
45.62,225.03
56.39,265.58
11.24,40.75
43.03,204.61
89.86,473.84
60.07,286.48
79.75,380.06
43.78,233.46
58.49,306.31
96.53,495.98
92.26,465.83
59.8,334.55
75.01,377.39
64.27,320.33
66.88,317.17
99.26,502.68
60.44,324.93
78.14,399.2
46.03,236.72
15.68,71.45
27.86,177.28
21.85,128.44
62.16,294.44
78.41,403.84
80.26,394.04
66.0,338.65
91.4,451.93
66.68,318.12
58.59,304.3
43.24,218.73
65.0,344.52
89.88,465.03
48.74,271.1
44.83,258.53
62.1,312.34
74.72,407.18
72.94,346.6
56.94,302.86
21.6,135.83
24.59,150.08
33.46,189.25
45.89,210.86
57.93,288.19
82.09,419.22
37.15,211.93
31.95,177.04
12.54,95.39
25.88,123.37
35.76,189.86
88.83,473.42
99.19,507.88
4.53,56.64
52.46,251.01
77.21,391.37
50.97,275.33
53.94,253.34
65.72,340.93
19.86,127.52
61.08,327.4
67.05,321.84
75.82,381.9
66.88,364.14
39.83,196.02
73.52,363.47
36.31,174.51
58.28,318.39
41.75,228.7
62.29,348.86
89.43,457.82
68.52,336.98
26.19,143.48
98.08,501.04
86.12,445.16
32.29,173.41
83.12,433.35
32.18,145.09
17.09,88.61
61.79,300.83
34.41,198.7
63.72,339.98
41.34,235.97
59.13,333.19
68.4,333.35
80.52,391.46
88.56,438.58
12.4,69.32
38.37,228.75
76.34,400.21
41.18,240.22
45.36,253.11
49.56,266.13
30.79,135.65
85.41,443.2
79.6,379.38
62.4,299.66
40.61,231.48
76.25,412.0
26.01,122.18
45.64,264.18
82.84,404.22
20.36,89.53
29.92,141.54
18.96,76.33
24.05,132.61
76.04,401.66
52.64,291.7
41.71,209.07
66.0,337.4
92.01,475.99
45.38,239.11
2.12,7.17
30.46,132.57
77.86,375.03
10.31,85.83
24.49,158.33
0.26,12.19
53.17,250.48
69.12,384.47
98.6,507.08
11.37,45.31
17.86,80.35
72.41,358.29
22.87,108.21
89.7,434.04
17.51,121.22
40.67,217.6
13.52,76.39
70.92,367.27
38.35,201.89
71.76,358.88
48.3,249.8
24.41,159.82
86.27,445.64
39.8,198.0
10.39,69.28
59.34,286.34
32.52,183.76
76.25,363.36
55.23,276.49
50.01,276.16
14.7,108.17
19.21,134.15
23.97,127.65
14.11,69.72
67.88,374.29
12.7,101.17
0.12,-1.9
70.39,365.26
77.66,410.25
64.36,352.06
39.33,192.93
71.14,335.97
48.52,267.8
46.92,253.2
44.59,256.6
20.37,83.85
7.18,58.44
49.53,232.76
78.24,430.67
68.84,383.61
27.02,164.86
20.61,141.62
1.02,20.83
22.9,101.96
5.08,9.94
17.61,107.18
93.94,452.93
72.42,386.65
88.63,476.31
71.08,355.25
63.25,349.17
47.12,267.62
77.68,414.32
16.34,90.55
11.08,71.95
